date,time,tweet
2023-01-01,,"Resuelto, muchísimas gracias , excelente servicio como siempre"
2023-01-02,,"Muchas gracias, espero su dm"
2023-01-02,,Muchas gracias!
2023-01-02,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.
2023-01-02,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 
2023-01-02,,Esta es la señal que necesitan para tener el mínimo dinero en banamex
2023-01-03,,Gracias 
2023-01-03,,Muchas gracias 
2023-01-03,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón."
2023-01-04,,Gracias por la playera que me dieron en Galerías GDL.
2023-01-04,,buen día...tengo problemas con mi cuenta
2023-01-05,,Gracias
2023-01-05,,Mis Respetos para ustedes... Gracias por el servicio 
2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias"
2023-01-06,,"Ya todo bien, gracias "
2023-01-06,,Milagro que me gano algo 
2023-01-06,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 
2023-01-06,,nunca había ganado nada antes  hahaha
2023-01-06,,Con el CashBack de pude pagar mi servicio de internet. yei :)
2023-01-07,,Gracias!!!
2023-01-07,,"Listo, gracias"
2023-01-07,,Si gracias
2023-01-08,,A mí me llegó una semana después aprox
2023-01-09,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..
2023-01-10,,Muchas gracias!
2023-01-10,,Muchas gracias 
2023-01-10,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor."
2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio."
2023-01-11,,Excelente Gracias por responder  estaremos muy atentos 
2023-01-11,,"Pues bueno, me quedé sin cena, muchas gracias "
2023-01-11,,"Gracias e igualmente, bendiciones "
2023-01-11,,Vale estoy esperando
2023-01-11,,Muchas gracias espero la respuesta
2023-01-13,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 
2023-01-13,,es mejor
2023-01-13,,Contéstenme por favor
2023-01-14,,Muchas gracias que amables 
2023-01-14,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito"
2023-01-14,,amigos les mandé dm gracias
2023-01-14,,solicito su ayuda gracias
2023-01-15,,Gracias!Ya respondí.Quedo atenta
2023-01-16,,Va gracias
2023-01-16,,No sé ni a qué le piqué pero muchas gracias️
2023-01-16,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss"
2023-01-16,,Por eso son mi banco 1 
2023-01-17,,Gracias
2023-01-17,,Thanks!
2023-01-17,,Muchas gracias!
2023-01-17,,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo"
2023-01-17,,"Increíble, gracias HeyBanco!!@heybanco"
2023-01-17,,Me contestaron que sí.
2023-01-18,,Gracias
2023-01-18,,Gracias!
2023-01-18,,Graciaaas.
2023-01-18,,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo."
2023-01-18,,"La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento"
2023-01-18,,🇬🇹 qué buena onda por vos David  a disfrutarlo!!!
2023-01-19,,¡Gracias
2023-01-19,,"¡Hola!, me pueden apoyar por favor "
2023-01-19,,"Eso se agradece, el aviso "
2023-01-19,,"Gracias, ya se ve reflejado. Solucionado. Gracias"
2023-01-20,,"Listo, gracias!"
2023-01-20,,Muchas gracias!
2023-01-20,,Los tkm ️
2023-01-20,,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii"
2023-01-20,,Cof cof también ️️
2023-01-20,,te lo súper recomiendo. Y no te cobran el plástico.
2023-01-20,,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! "
2023-01-21,,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!"
2023-01-23,,Gracias !
2023-01-23,,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané."
2023-01-23,,Gracias ! Este mes me tocó boletoDorado
2023-01-23,,Bello!
2023-01-23,,Aún hay esperanza.. congrats !!
2023-01-24,,Gracias 
2023-01-24,,Gracias.
2023-01-24,,Muchas gracias 
2023-01-24,,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo
2023-01-24,,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.
2023-01-24,,No mames que buena suee!
2023-01-24,,"segundo premio, espero lleguen más"
2023-01-25,,Gracias!!!
2023-01-25,,Gracias ️
2023-01-25,,"Hola, esto nos beneficia a los usuarios de"
2023-01-26,,Gracias por el apoyo con el seguimiento
2023-01-26,,Gracias tio hey! Esto nos ayuda bastante.
2023-01-26,,Muchas gracias Un mes gratis de
2023-01-27,,Muchísimas gracias ya me resolvió. Saludos!
2023-01-27,,Vale gracias 
2023-01-27,,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias
2023-01-27,,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.
2023-01-27,,Gracias por ser pae de el FC Barcelona
2023-01-27,,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma
2023-01-28,,Ok gracias
2023-01-28,,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey."
2023-01-28,,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien"
2023-01-28,,Excelente
2023-01-29,,Me gane 2 premios
2023-01-29,,Amiga explícame!!!
2023-01-30,,Muchas gracias por la información!
2023-01-30,,ThankU!
2023-01-30,,"Vientos, gracias"
2023-01-30,,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...
2023-01-31,,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias
2023-02-01,,Gracias 
2023-02-01,,"Gracias, lo checo"
2023-02-01,,¿Ya no habrá Viaje Financiero del 2022? estaba muy buena esa información
2023-02-01,,Gracias por el dato y cómo fue soeo ?
2023-02-01,,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito"
2023-02-02,,Muchas gracias
2023-02-02,,Gracias ya se solucionó. Buenas tardes
2023-02-02,,Lo realizaré.Gracias.
2023-02-02,,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*
2023-02-03,,Me funcionó mil gracias
2023-02-03,,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar
2023-02-04,,Mmm. te da el rendimiento del 10% Es buena opción.
2023-02-04,,Gracias por mi aumento de crédito en mi tarjeta !! Muy contenta con sus servicios! ️
2023-02-05,,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 
2023-02-07,,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios"
2023-02-08,,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora."
2023-02-08,,Gracias por ser el mejor banco 
2023-02-10,,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES."
2023-02-11,,gracias
2023-02-11,,Solucionado. Gracias.
2023-02-11,,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco."
2023-02-11,,Excelente servicio de atención a clientes en HeyBanco 10/10
2023-02-11,,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 
2023-02-13,,Ok muchas gracias 
2023-02-13,,Gracias. Porque tengo una duda
2023-02-13,,¡Gracias a ti por formar pae de esta gran familia!
2023-02-13,,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato."
2023-02-14,,100 % recomendado la vdd
2023-02-14,,Para ver si eres fit y viable para seguros de vida! XD
2023-02-14,,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?"
2023-02-15,, Gracias 
2023-02-15,,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas)
2023-02-15,,hola ocupo ayuda con el cambio de número de celular y con mi token
2023-02-16,,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí"
2023-02-16,,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?"
2023-02-16,,"Pues más vale, la verdad"
2023-02-16,,Ya está todo listo..
2023-02-17,,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10
2023-02-17,,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.
